#;NOMBRE;SEGUIDORES;TP;PAÍS;TEMA DE INFLUENCIA;ALCANCE POTENCIAL;GUARDAR;INVITAR A LA CAMPAÑA;channel_name;total_subscribers;total_views;total_videos
1;NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg;32.9M;-;Reino Unido;Música;9.9M;;Ver Perfil;NoCopyrightSounds;33900000;11523397798;1890
2;DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw;26.3M;-;Reino Unido;;7.9M;;Ver Perfil;DanTDM;29200000;20067013557;3738
3;KSI @UCVtFOytbRpEvzLjvqGG5gxQ;24M;-;Reino Unido;;7.2M;;Ver Perfil;KSI;25000000;6202626634;1265
4;Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg;23M;0.1%;Reino Unido;;6.9M;;Ver Perfil;Mister Max;24900000;16356671585;1178
5;Jelly @UC0DZmkupLYwc0yDsfocLh0A;22.9M;-;Reino Unido;;6.9M;;Ver Perfil;Jelly;23500000;15228347445;6656
6;Miss Katy @UCcartHVtvAUzfajflyeT_Gg;22.6M;-;Reino Unido;;6.8M;;Ver Perfil;Miss Katy;25200000;16085702161;1126
7;Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ;21.1M;-;Reino Unido;;6.3M;;Ver Perfil;Dua Lipa;23900000;13999200130;308
8;Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA;17.7M;0.3%;Reino Unido;;5.3M;;Ver Perfil;Dan Rhodes;27000000;19127558610;1677
9;Ali-A @UCYVinkwSX7szARULgYpvhLw;17.7M;-;Reino Unido;;5.3M;;Ver Perfil;Ali-A;19400000;6754540250;4543
10;Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ;17M;-;Reino Unido;;5.1M;;Ver Perfil;Gaby and Alex;17200000;8973852200;369
11;Sidemen @sidemen;17M;2.8%;Reino Unido;;5.1M;;Ver Perfil;Queen Official;18100000;12011782351;1292
12;Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ;16.3M;-;Reino Unido;;4.9M;;Ver Perfil;Little Mix;16400000;8158285138;278
13;Little Mix @UCIvqWqjC4aLvp7zI8hzARrA;16.1M;-;Reino Unido;;4.8M;;Ver Perfil;JJ Olatunji;16400000;4426763750;1405
14;JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw;15.9M;-;Reino Unido;;4.8M;;Ver Perfil;F2Freestylers - Ultimate Soccer Skills Channel;14000000;3374838443;783
15;F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g;14M;0.2%;Reino Unido;Celebridad;4.2M;;Ver Perfil;BBC News;17200000;5777417584;24049
16;BBC News @UC16niRr50-MSBwiO3YDb3RA;13.3M;-;Reino Unido;;4M;;Ver Perfil;BBC;14600000;10859221133;21545
17;BBC @UCCj956IF62FbT7Gouszaj9w;12.9M;-;Reino Unido;;3.9M;;Ver Perfil;Awakening Music;14400000;6137616774;976
18;Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA;12.4M;-;संयुक्त अधिराज्य;सङ्गीत;3.7M;;प्रोफ़ाइल देखें;DisneyChannelUK;13300000;13907149002;4591
19;DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ;12.3M;-;संयुक्त अधिराज्य;;3.7M;;प्रोफ़ाइल देखें;colinfurze;13100000;1824953368;418
